o_bor,d_bor,occ_type,count,is_prof
Barking and Dagenham,Hillingdon,5_trade,13,FALSE
Barking and Dagenham,Hillingdon,6_caring_leisure,10,FALSE
Barking and Dagenham,Hillingdon,7_sales_customer,8,FALSE
Barking and Dagenham,Hillingdon,8_machine_operatives,20,FALSE
Barking and Dagenham,Hillingdon,9_elementary,28,FALSE
Barking and Dagenham,Hounslow,1_managers_senior,2,TRUE
Barking and Dagenham,Hounslow,2_professional,28,TRUE
Barking and Dagenham,Hounslow,3_associate_professional,18,TRUE
Barking and Dagenham,Hounslow,4_administrative,6,FALSE
Barking and Dagenham,Hounslow,5_trade,10,FALSE
Barking and Dagenham,Hounslow,6_caring_leisure,13,FALSE
Barking and Dagenham,Hounslow,7_sales_customer,12,FALSE
Barking and Dagenham,Hounslow,8_machine_operatives,13,FALSE
Barking and Dagenham,Hounslow,9_elementary,17,FALSE
Barking and Dagenham,Islington,1_managers_senior,116,TRUE
Barking and Dagenham,Islington,2_professional,251,TRUE
Barking and Dagenham,Islington,3_associate_professional,216,TRUE
Barking and Dagenham,Islington,4_administrative,260,FALSE
Barking and Dagenham,Islington,5_trade,93,FALSE
Barking and Dagenham,Islington,6_caring_leisure,91,FALSE
Barking and Dagenham,Islington,7_sales_customer,90,FALSE
Barking and Dagenham,Islington,8_machine_operatives,65,FALSE
Barking and Dagenham,Islington,9_elementary,129,FALSE
Barking and Dagenham,Kensington and Chelsea,1_managers_senior,44,TRUE
Barking and Dagenham,Kensington and Chelsea,2_professional,88,TRUE
Barking and Dagenham,Kensington and Chelsea,3_associate_professional,61,TRUE
Barking and Dagenham,Kensington and Chelsea,4_administrative,70,FALSE
Barking and Dagenham,Kensington and Chelsea,5_trade,40,FALSE
Barking and Dagenham,Kensington and Chelsea,6_caring_leisure,70,FALSE
Barking and Dagenham,Kensington and Chelsea,7_sales_customer,86,FALSE
Barking and Dagenham,Kensington and Chelsea,8_machine_operatives,22,FALSE
Barking and Dagenham,Kensington and Chelsea,9_elementary,80,FALSE
Barking and Dagenham,Kingston upon Thames,1_managers_senior,3,TRUE
Barking and Dagenham,Kingston upon Thames,2_professional,4,TRUE
Barking and Dagenham,Kingston upon Thames,3_associate_professional,1,TRUE
Barking and Dagenham,Kingston upon Thames,4_administrative,1,FALSE
Barking and Dagenham,Kingston upon Thames,5_trade,6,FALSE
Barking and Dagenham,Kingston upon Thames,6_caring_leisure,7,FALSE
Barking and Dagenham,Kingston upon Thames,7_sales_customer,3,FALSE
Barking and Dagenham,Kingston upon Thames,8_machine_operatives,1,FALSE
Barking and Dagenham,Kingston upon Thames,9_elementary,9,FALSE
Barking and Dagenham,Lambeth,1_managers_senior,55,TRUE
Barking and Dagenham,Lambeth,2_professional,113,TRUE
Barking and Dagenham,Lambeth,3_associate_professional,75,TRUE
Barking and Dagenham,Lambeth,4_administrative,67,FALSE
Barking and Dagenham,Lambeth,5_trade,43,FALSE
Barking and Dagenham,Lambeth,6_caring_leisure,52,FALSE
Barking and Dagenham,Lambeth,7_sales_customer,41,FALSE
Barking and Dagenham,Lambeth,8_machine_operatives,29,FALSE
Barking and Dagenham,Lambeth,9_elementary,90,FALSE
Barking and Dagenham,Lewisham,1_managers_senior,17,TRUE
Barking and Dagenham,Lewisham,2_professional,50,TRUE
Barking and Dagenham,Lewisham,3_associate_professional,20,TRUE
Barking and Dagenham,Lewisham,4_administrative,19,FALSE
Barking and Dagenham,Lewisham,5_trade,17,FALSE
Barking and Dagenham,Lewisham,6_caring_leisure,15,FALSE
Barking and Dagenham,Lewisham,7_sales_customer,28,FALSE
Barking and Dagenham,Lewisham,8_machine_operatives,17,FALSE
Barking and Dagenham,Lewisham,9_elementary,28,FALSE
Barking and Dagenham,Merton,1_managers_senior,9,TRUE
Barking and Dagenham,Merton,2_professional,20,TRUE
Barking and Dagenham,Merton,3_associate_professional,8,TRUE
Barking and Dagenham,Merton,4_administrative,6,FALSE
Barking and Dagenham,Merton,5_trade,18,FALSE
Barking and Dagenham,Merton,6_caring_leisure,5,FALSE
Barking and Dagenham,Merton,7_sales_customer,5,FALSE
Barking and Dagenham,Merton,8_machine_operatives,9,FALSE
Barking and Dagenham,Merton,9_elementary,5,FALSE
Barking and Dagenham,Newham,1_managers_senior,348,TRUE
Barking and Dagenham,Newham,2_professional,749,TRUE
Barking and Dagenham,Newham,3_associate_professional,419,TRUE
Barking and Dagenham,Newham,4_administrative,756,FALSE
Barking and Dagenham,Newham,5_trade,293,FALSE
Barking and Dagenham,Newham,6_caring_leisure,596,FALSE
Barking and Dagenham,Newham,7_sales_customer,533,FALSE
Barking and Dagenham,Newham,8_machine_operatives,518,FALSE
Barking and Dagenham,Newham,9_elementary,617,FALSE
Barking and Dagenham,Redbridge,1_managers_senior,330,TRUE
Barking and Dagenham,Redbridge,2_professional,836,TRUE
Barking and Dagenham,Redbridge,3_associate_professional,447,TRUE
Barking and Dagenham,Redbridge,4_administrative,753,FALSE
Barking and Dagenham,Redbridge,5_trade,367,FALSE
Barking and Dagenham,Redbridge,6_caring_leisure,1014,FALSE
Barking and Dagenham,Redbridge,7_sales_customer,583,FALSE
Barking and Dagenham,Redbridge,8_machine_operatives,411,FALSE
Barking and Dagenham,Redbridge,9_elementary,648,FALSE
Barking and Dagenham,Richmond upon Thames,1_managers_senior,3,TRUE
Barking and Dagenham,Richmond upon Thames,2_professional,5,TRUE
Barking and Dagenham,Richmond upon Thames,3_associate_professional,5,TRUE
Barking and Dagenham,Richmond upon Thames,4_administrative,6,FALSE
Barking and Dagenham,Richmond upon Thames,5_trade,4,FALSE
Barking and Dagenham,Richmond upon Thames,6_caring_leisure,1,FALSE
Barking and Dagenham,Richmond upon Thames,7_sales_customer,1,FALSE
Barking and Dagenham,Richmond upon Thames,8_machine_operatives,2,FALSE
Barking and Dagenham,Richmond upon Thames,9_elementary,14,FALSE
Barking and Dagenham,Southwark,1_managers_senior,81,TRUE
Barking and Dagenham,Southwark,2_professional,232,TRUE
Barking and Dagenham,Southwark,3_associate_professional,183,TRUE
Barking and Dagenham,Southwark,4_administrative,256,FALSE
Barking and Dagenham,Southwark,5_trade,84,FALSE
Barking and Dagenham,Southwark,6_caring_leisure,61,FALSE
Barking and Dagenham,Southwark,7_sales_customer,78,FALSE
Barking and Dagenham,Southwark,8_machine_operatives,66,FALSE
Barking and Dagenham,Southwark,9_elementary,177,FALSE
Barking and Dagenham,Sutton,1_managers_senior,7,TRUE
Barking and Dagenham,Sutton,2_professional,7,TRUE
Barking and Dagenham,Sutton,3_associate_professional,6,TRUE
Barking and Dagenham,Sutton,4_administrative,7,FALSE
Barking and Dagenham,Sutton,5_trade,13,FALSE
Barking and Dagenham,Sutton,6_caring_leisure,8,FALSE
Barking and Dagenham,Sutton,7_sales_customer,2,FALSE
Barking and Dagenham,Sutton,8_machine_operatives,9,FALSE
Barking and Dagenham,Sutton,9_elementary,30,FALSE
Barking and Dagenham,Tower Hamlets,1_managers_senior,352,TRUE
Barking and Dagenham,Tower Hamlets,2_professional,744,TRUE
Barking and Dagenham,Tower Hamlets,3_associate_professional,550,TRUE
Barking and Dagenham,Tower Hamlets,4_administrative,803,FALSE
Barking and Dagenham,Tower Hamlets,5_trade,312,FALSE
Barking and Dagenham,Tower Hamlets,6_caring_leisure,391,FALSE
Barking and Dagenham,Tower Hamlets,7_sales_customer,364,FALSE
Barking and Dagenham,Tower Hamlets,8_machine_operatives,270,FALSE
Barking and Dagenham,Tower Hamlets,9_elementary,493,FALSE
Barking and Dagenham,Waltham Forest,1_managers_senior,138,TRUE
Barking and Dagenham,Waltham Forest,2_professional,250,TRUE
Barking and Dagenham,Waltham Forest,3_associate_professional,108,TRUE
Barking and Dagenham,Waltham Forest,4_administrative,142,FALSE
Barking and Dagenham,Waltham Forest,5_trade,113,FALSE
Barking and Dagenham,Waltham Forest,6_caring_leisure,160,FALSE
Barking and Dagenham,Waltham Forest,7_sales_customer,95,FALSE
Barking and Dagenham,Waltham Forest,8_machine_operatives,126,FALSE
Barking and Dagenham,Waltham Forest,9_elementary,160,FALSE
Barking and Dagenham,Wandsworth,1_managers_senior,23,TRUE
Barking and Dagenham,Wandsworth,2_professional,47,TRUE
Barking and Dagenham,Wandsworth,3_associate_professional,16,TRUE
Barking and Dagenham,Wandsworth,4_administrative,26,FALSE
Barking and Dagenham,Wandsworth,5_trade,28,FALSE
Barking and Dagenham,Wandsworth,6_caring_leisure,26,FALSE
Barking and Dagenham,Wandsworth,7_sales_customer,21,FALSE
Barking and Dagenham,Wandsworth,8_machine_operatives,20,FALSE
Barking and Dagenham,Wandsworth,9_elementary,28,FALSE
Barking and Dagenham,Westminster,1_managers_senior,295,TRUE
Barking and Dagenham,Westminster,2_professional,507,TRUE
Barking and Dagenham,Westminster,3_associate_professional,448,TRUE
Barking and Dagenham,Westminster,4_administrative,778,FALSE
Barking and Dagenham,Westminster,5_trade,216,FALSE
Barking and Dagenham,Westminster,6_caring_leisure,250,FALSE
Barking and Dagenham,Westminster,7_sales_customer,433,FALSE
Barking and Dagenham,Westminster,8_machine_operatives,107,FALSE
Barking and Dagenham,Westminster,9_elementary,494,FALSE
Barnet,Barking and Dagenham,1_managers_senior,30,TRUE
Barnet,Barking and Dagenham,2_professional,34,TRUE
Barnet,Barking and Dagenham,3_associate_professional,13,TRUE
Barnet,Barking and Dagenham,4_administrative,16,FALSE
Barnet,Barking and Dagenham,5_trade,14,FALSE
Barnet,Barking and Dagenham,6_caring_leisure,2,FALSE
Barnet,Barking and Dagenham,7_sales_customer,8,FALSE
Barnet,Barking and Dagenham,8_machine_operatives,17,FALSE
Barnet,Barking and Dagenham,9_elementary,10,FALSE
Barnet,Barnet,1_managers_senior,3625,TRUE
Barnet,Barnet,2_professional,7757,TRUE
Barnet,Barnet,3_associate_professional,3444,TRUE
Barnet,Barnet,4_administrative,5283,FALSE
Barnet,Barnet,5_trade,1844,FALSE
Barnet,Barnet,6_caring_leisure,5289,FALSE
Barnet,Barnet,7_sales_customer,4218,FALSE
Barnet,Barnet,8_machine_operatives,1178,FALSE
Barnet,Barnet,9_elementary,3393,FALSE
Barnet,Bexley,1_managers_senior,6,TRUE
Barnet,Bexley,2_professional,7,TRUE
Barnet,Bexley,3_associate_professional,3,TRUE
Barnet,Bexley,4_administrative,1,FALSE
Barnet,Bexley,5_trade,8,FALSE
Barnet,Bexley,6_caring_leisure,2,FALSE
Barnet,Bexley,7_sales_customer,6,FALSE
Barnet,Bexley,8_machine_operatives,1,FALSE
Barnet,Bexley,9_elementary,8,FALSE
Barnet,Brent,1_managers_senior,788,TRUE
Barnet,Brent,2_professional,1261,TRUE
Barnet,Brent,3_associate_professional,583,TRUE
Barnet,Brent,4_administrative,799,FALSE
Barnet,Brent,5_trade,358,FALSE
Barnet,Brent,6_caring_leisure,497,FALSE
Barnet,Brent,7_sales_customer,573,FALSE
Barnet,Brent,8_machine_operatives,531,FALSE
Barnet,Brent,9_elementary,518,FALSE
Barnet,Bromley,1_managers_senior,6,TRUE
Barnet,Bromley,2_professional,26,TRUE
Barnet,Bromley,3_associate_professional,14,TRUE
Barnet,Bromley,4_administrative,14,FALSE
Barnet,Bromley,5_trade,9,FALSE
Barnet,Bromley,6_caring_leisure,10,FALSE
Barnet,Bromley,7_sales_customer,5,FALSE
Barnet,Bromley,8_machine_operatives,1,FALSE
Barnet,Bromley,9_elementary,6,FALSE
Barnet,Camden,1_managers_senior,1982,TRUE
Barnet,Camden,2_professional,4522,TRUE
Barnet,Camden,3_associate_professional,2074,TRUE
Barnet,Camden,4_administrative,1847,FALSE
Barnet,Camden,5_trade,642,FALSE
Barnet,Camden,6_caring_leisure,931,FALSE
Barnet,Camden,7_sales_customer,768,FALSE
Barnet,Camden,8_machine_operatives,296,FALSE
Barnet,Camden,9_elementary,944,FALSE
Barnet,City of London,1_managers_senior,1473,TRUE
Barnet,City of London,2_professional,2797,TRUE
Barnet,City of London,3_associate_professional,1905,TRUE
Barnet,City of London,4_administrative,1027,FALSE
Barnet,City of London,5_trade,180,FALSE
Barnet,City of London,6_caring_leisure,109,FALSE
Barnet,City of London,7_sales_customer,184,FALSE
Barnet,City of London,8_machine_operatives,62,FALSE
Barnet,City of London,9_elementary,253,FALSE
Barnet,Croydon,1_managers_senior,9,TRUE
Barnet,Croydon,2_professional,37,TRUE
Barnet,Croydon,3_associate_professional,18,TRUE
Barnet,Croydon,4_administrative,20,FALSE
Barnet,Croydon,5_trade,12,FALSE
Barnet,Croydon,6_caring_leisure,10,FALSE
Barnet,Croydon,7_sales_customer,11,FALSE
Barnet,Croydon,8_machine_operatives,3,FALSE
Barnet,Croydon,9_elementary,11,FALSE
Barnet,Ealing,1_managers_senior,304,TRUE
Barnet,Ealing,2_professional,317,TRUE
Barnet,Ealing,3_associate_professional,258,TRUE
Barnet,Ealing,4_administrative,199,FALSE
Barnet,Ealing,5_trade,166,FALSE
Barnet,Ealing,6_caring_leisure,69,FALSE
Barnet,Ealing,7_sales_customer,141,FALSE
Barnet,Ealing,8_machine_operatives,170,FALSE
Barnet,Ealing,9_elementary,163,FALSE
